lead_id,store_name,lead_channel_label,google_maps_category,instagram_handle,followers,items_listed,sell_through_rate,website,email,phone,owner_name,address,city,neighbourhood,country,lat,lng,est_monthly_spend_gbp,lead_stage,last_contact_date,last_purchase_date,notes,lead_source
L1076,Restore Charity Shop,,Bric-a-brac,@restorecharityshop,24873,,,restorecharityshop.com,info@restorecharity.com,,Ellie Dubois,53 Broadway,Manchester,"Northern Quarter, Manchester",UK,53.49396,-2.23475,1656,NEW,,,Charity shop — all proceeds to local causes,Market visit
L1101,Salvage Depot,,Antique store,@salvagedepot,18523,,,,info@salvagedepot.com,+44 7053494937,Nadia Cole,127 Union St,Glasgow,Glasgow,UK,55.86978,-4.25068,928,not contacted,,,"Records, vinyl & memorabilia",BDR
L1172,eragoods99,depop,,@eragoods99,61247,958,43%,,,,,,,,,,,2286,new - inbound,,,,Depop scrape
L1005,Reclaimed Interiors,store,Antiques & collectibles,@reclaimedinteriors,6254,,,reclaimedinteriors.shop,info@reclaimedinter.com,,,130 Union St,London,"Shoreditch, London",UK,51.51567,-0.0657,1490,contacted,2026-04-28,,Fancy dress & theatrical costume hire,Referral
L1161,sourcedera14,depop,,@sourcedera14,57076,316,39%,,sourcedera14@gmail.com,,,,,,,,,1883,new - inbound,,,,Depop scrape
L1130,Curated Vault,physical,Used clothing store,@curatedvault,29631,,,curatedvault.shop,info@curatedvault.com,+33 628772175,,62 The Parade,Los Angeles,"Melrose, Los Angeles",USA,34.09508,-118.37179,5504,contacted,2026-04-14,,"Curated vintage womenswear, Levi's & band tees | ",Market visit
L1146,archivepicks77,depop,,@archivepicks77,32948,1202,40%,,,,,,,,,,,2637,new - inbound,,,"IG shop, DMs open",Depop scrape
L1204,Vinyl Revival Records,physical,Record store,,,,,vinylrevivalrecord.co.uk,,,,78 The Parade,Berlin,"Kreuzberg, Berlin",Germany,52.49027,13.39478,1829,closed - lost,14 May,,Antique furniture & mid-century homeware,Instagram
L1085,Golden Era Closet,store,Used clothing store,@goldeneracloset,12722,,,goldeneracloset.com,info@goldeneraclose.com,+44 7939828073,,113 Mill Lane,Bristol,"Stokes Croft, Bristol",UK,51.47295,-2.60034,1419,CONTACTED,27 May,,"Vintage workwear, military surplus, carhartt",Market visit
L1200,DUSTY DEPOT,physical,Vintage boutique,@dustydepot,14115,,,,,+33 699353875,,130 Mill Lane,New York,"Williamsburg, New York",USA,40.72329,-73.95182,5106,contacted,June 4 2026,,80s/90s denim & sportswear specialist,BDR
L1026,Curated Apparel,shop,Vintage & retro fashion,@curatedapparel,24651,,,curatedapparel.co.uk,info@curatedapparel.com,+44 7123281206,Sam Dubois,121 Mill Lane,London,"Camden, London",UK,51.52778,-0.14769,5126,1st touch sent,19/06/2026,,"Hand-picked vintage from the 60s to the 90s | Left a voicemail, no callback yet.",Google Maps scrape
L1203,RECLAIMED INTERIORS,physical,Furniture store,@reclaimedinteriors,29185,,,reclaimedinteriors.co.uk,info@reclaimedinter.com,+33 652166746,Ellie Meyer,108 Church Rd,Los Angeles,"Melrose, Los Angeles",USA,34.07451,-118.35629,1684,no fit,June 21 2026,,"Antique furniture & mid-century homeware | Tried us in 2023, wasn't happy with the sizing mix.",Google Maps scrape
L1186,retrofinds66,,,@retrofinds66,17193,936,29%,,,,,,,,,,,2352,stopped buying,20 Apr,January 2 2026,"Fast seller, good margins",Instagram
